number,title,pageid,namespace,length,touched
1,Flicker-free,25444769,Talk,680,20240511061104
2,Borders_Competitions,74194748,Talk,44,20240410161244
3,Issue_network,25684391,Talk,1166,20240501230754
4,Convolution_quotient,73513398,Talk,739,20240513001526
5,International_Citizen_Service,31283545,Talk,2930,20240511072332
6,Amaymon,12724620,Talk,366,20240315132146
7,Slough_of_Despond,10775494,Talk,1117,20240425140929
8,GMT900,6165922,Talk,1355,20240513205028
9,"Thomas_Jefferson_School_(Sacramento,_California)",76908450,Talk,40,20240515035309
10,Resolution_enhancement_technologies,26220190,Talk,182,20240513204518
11,William_of_Lindholme,74428071,Talk,40,20240513210049
12,WeFarm,65829518,Talk,796,20240513204316
13,Davey_Moore_vs._Roberto_Durán,76909007,Talk,40,20240515064743
14,Numidia_(olive_oil),74297137,Talk,40,20240511235652
15,Skyland_İstanbul,53732751,Talk,122,20240511064306
16,Landing_performance,33881896,Talk,1637,20240513204922
17,Call_transfer,3816061,Talk,1404,20240509155117
18,Tribute_Brand,76393873,Talk,41,20240322115621
19,Content_writing_services,49294482,Talk,647,20240511222911
20,Tibet_University_of_Traditional_Tibetan_Medicine,76907977,Talk,40,20240515013813
21,Grand_Magal_of_Touba,52427751,Talk,1196,20240514041058
22,Pillow_fight_flash_mob,3426871,Talk,8547,20240425205527
23,IQinVision,13892413,Talk,1632,20240513204136
24,Nanalysis,56560856,Talk,1050,20240511222712
25,Fillomino,2175603,Talk,4803,20240410194831
26,Cambrian_House,8324614,Talk,6605,20240511031239
27,Toi_Ora_Live_Art_Trust,26266960,Talk,1697,20240511235759
28,MHV_connector,9740910,Talk,856,20240511063818
29,Calty_Design_Research,54454748,Talk,7657,20240511030537
30,Theft_of_services,1571424,Talk,852,20240511070553
31,International_Federation_of_Rock_Art_Organizations,74265287,Talk,40,20240511054702
32,ATI_HPSS,34604116,Talk,471,20240325170212
33,Mortgage_interest_relief_at_source,38241284,Talk,3492,20240511073424
34,American_Autoflower_Cup,77030342,Talk,41,20240528070908
35,Blue_Sky_Network,35264373,Talk,3181,20240410124407
36,Two-wheeler_insurance,74420392,Talk,40,20240513205618
37,Leinster_group,53754094,Talk,598,20240512054347
38,Homosphere,60986576,Talk,815,20240511055650
39,Glintshake,55567330,Talk,2025,20240513204418
40,Streatfeild_family,74365631,Talk,40,20240511221003
41,Ang_Ika-Labing_Isang_Utos:_Mahalin_Mo_Asawa_Mo,76908325,Talk,40,20240515031607
42,Hospices_of_Hope,74260161,Talk,40,20240511221822
43,BRIC_Language_Systems,74188591,Talk,44,20240416153707
44,Testigo_(band),76747089,Talk,40,20240426195905
45,Tarquinian_conspiracy,30879531,Talk,1128,20240617043142
46,Business_Controls_Corporation,58396869,Talk,1683,20240418151541
47,Prudent_man_rule,9096793,Talk,453,20240513204831
48,Line–sphere_intersection,6801614,Talk,611,20240512083123
49,Shaniwarwada_Elgar_Parishad,58508809,Talk,1486,20240513205632
50,Stardom_9th_Anniversary_Show,77093102,Talk,41,20240606013111
51,SpecialThanks,30672146,Talk,1479,20240511062743
52,Townswomen's_Guild,46893954,Talk,291,20240511073243
53,Vented_balance_safety_enclosure,37089510,Talk,40,20240512050339
54,Starcon,74364665,Talk,40,20240511070403
55,The_dog_who_carries_his_master's_dinner_round_his_neck,74415569,Talk,40,20240512050326
56,Washburn_RR-V_Tour_Series,33419167,Talk,203,20240513210810
57,Müsavat_Dervişoğlu,76757658,Talk,584,20240528024233
58,The_Players_Association,41937084,Talk,1716,20240512050203
59,Fool's_Gold_(band),26502267,Talk,1136,20240511073459
60,Ooklah_The_Moc,26516243,Talk,895,20240511235635
61,Monster_Florence,66315598,Talk,289,20240511070054
62,Anchor_channel,74184055,Talk,44,20240315134052
63,Pigloo,41604728,Talk,376,20240513204747
64,The_Yagyu_Ninja_Scrolls,17459415,Talk,1176,20240619145619
65,Kaplansky's_conjectures,4091414,Talk,1815,20240512053648
66,Level_playing_field,25412496,Talk,2215,20240513210239
67,MrsP.com,74289957,Talk,40,20240511072445
68,Communication_quotient,31606306,Talk,1653,20240511064359
69,World's_Finest_Shows,51541646,Talk,2123,20240511072931
70,Soren_Bryce,49547408,Talk,548,20240513204356
71,BookmarkSync,14148577,Talk,3799,20240409151638
72,Against_a_Wen,32697613,Talk,1591,20240315131442
73,Provveditori_all'Armar,74344437,Talk,40,20240511221017
74,Sweep_frequency_response_analysis,34298647,Talk,403,20240511072406
75,CallFire,38456847,Talk,528,20240511030224
76,International_Society_for_Alpine_History,55800128,Talk,1251,20240511055755
77,Intercollegiate_Fencing_Association,11564197,Talk,1752,20240511032540
78,ROV_SuBastian,74091986,Talk,40,20240511222804
79,Openpass,74298969,Talk,40,20240511064108
80,Pisore_Khand,52191656,Talk,312,20240511060439
81,CAMP_test,26712547,Talk,1381,20240511031825
82,Ronchi_test,14300374,Talk,878,20240511065654
83,Ruger_Security-9,58706015,Talk,342,20240511064237
84,Mars_Red_Sky,74284747,Talk,40,20240512000504
85,Sick_AG,15463884,Talk,1712,20240506100937
86,Stardom_The_Conversion,77093098,Talk,63,20240606043026
87,Guardian_of_the_Threshold,36215332,Talk,489,20240511220939
88,Vinícius_Ribeiro,76134886,Talk,162,20240519130230
89,Art_cluster,37912607,Talk,399,20240326021722
90,False_documentation,39288863,Talk,305,20240328165259
91,May_2024_Massachusetts_stabbings,77029373,Talk,1149,20240607160520
92,Merv_Griffin_Enterprises,6160367,Talk,3938,20240511063450
93,Lich_King_(band),66579987,Talk,123,20240511223301
94,The_Angelic_Symphony,74609303,Talk,61,20240608151111
95,Payment_by_results,36118370,Talk,204,20240610112028
96,Ogcocephalus_pumilus,73052321,Talk,79,20240616160839
97,Waldstock_Festival_UK,31752373,Talk,5554,20240511073038
98,State_Secretariat_for_the_Sea,74364773,Talk,40,20240511065949
99,Monitor_mode,10040384,Talk,385,20240511221212
100,Dry_heat_sterilization,17199586,Talk,2164,20240528115930
101,Measure_word,50882,Talk,11257,20240512041940
102,Gasogene,3681856,Talk,2613,20240511055941
103,Taipei_Kuei_Shan_School,76907957,Talk,40,20240515013435
104,Natraj_Temple,74293301,Talk,40,20240511060341
105,Peacock_chair,76907496,Talk,40,20240514235006
106,Pro_Footvolley_Tour,74343857,Talk,40,20240513205043
107,We_Are_Toonz,44780863,Talk,40,20240511055813
108,Pages_(Shaznay_Lewis_album),76905575,Talk,1173,20240614190318
109,Asian_Music_Circuit,30748337,Talk,230,20240325160822
110,Tertium_comparationis,145004,Talk,798,20240512044023
111,Cadillac_High_Technology_engine,63920333,Talk,141,20240417030357
112,Most_(magazine),72172965,Talk,780,20240511064643
113,Capability_management,38385807,Talk,2907,20240525041709
114,Reductive_stress,70463385,Talk,1390,20240520162528
115,Companion_(film),76908608,Talk,40,20240515045554
116,Triermain_Castle,74419100,Talk,40,20240322200025
117,Karnataka_Motor_Sports_Club,75925801,Talk,591,20240427140901
118,Oppenheim_family,15262764,Talk,977,20240511222209
119,Squirrel_(personal_finance_company),74362984,Talk,40,20240511062345
120,Waves_(2024_film),77084615,Talk,40,20240604204117
121,Highway_Addressable_Remote_Transducer_Protocol,7272058,Talk,1921,20240511063751
122,Gabriel_Bispo,77037210,Talk,159,20240529083732
123,Conditional_factor_demands,4480398,Talk,74,20240521081147
124,Port_Jew,31864673,Talk,1487,20240511062029
125,Gonset_Communicator,48838323,Talk,725,20240511064140
126,Random_two-sided_matching,76983481,Talk,46,20240521164518
127,2024_General_Tire_200_(Sonoma),77083895,Talk,40,20240604190351
128,CANalyzer,37566441,Talk,417,20240511031952
129,TheLadders.com,11711726,Talk,7374,20240511060146
130,Two_Mile_Square_Reservation,28247195,Talk,40,20240511073050
131,Indiana_Youth_Group,77145546,Talk,40,20240613155246
132,Gilbert–Varshamov_bound_for_linear_codes,49983173,Talk,429,20240511062705
133,TrueTube,63439756,Talk,111,20240511060539
134,Bornodi_Bhotiai,76874169,Talk,46,20240510025455
135,Stolen_Ogre,44509378,Talk,724,20240511070005
136,The_Cardinals,20533286,Talk,742,20240511055715
137,Video_Justice,17931938,Talk,2136,20240511072314
138,The_Limit_Club_(band),74413804,Talk,40,20240511061632
139,Trans_Euro_Trail,74418493,Talk,40,20240511060209
140,UDG_Healthcare,27656982,Talk,2311,20240511061804
141,Extended_parallel_process_model,21447309,Talk,5981,20240613235022
142,Camera_auto-calibration,24349409,Talk,875,20240509155217
143,Fake_passport,19937945,Talk,1536,20240328165848
144,Extendable-output_function,74114551,Talk,2330,20240511235710
145,The_Golden_Chain,12889703,Talk,2030,20240513204226
146,Can_seamer,46930120,Talk,344,20240511031919
147,Script_Frenzy,11045723,Talk,7464,20240511235955
148,South_American_Women's_Basketball_League,76850069,Talk,46,20240507211721
149,Top-attack,76836910,Talk,46,20240506174034
150,Wharton_Follies,74427217,Talk,40,20240511064318
151,Gaggle_(band),39662498,Talk,181,20240511073515
152,Forter,59599997,Talk,685,20240511064826
153,Maserati_8CL,74284964,Talk,40,20240513204035
154,Nitrocefin,39989355,Talk,813,20240511055729
155,Book_type,13016866,Talk,311,20240404184718
156,Water_Protection_Zone,74426106,Talk,61,20240405224740
157,String_girdling_Earth,28492347,Talk,3096,20240512031620
158,Output-based_aid,12115944,Talk,2102,20240610122950
159,Piggybacking_(security),45478520,Talk,925,20240511202328
160,Sandwich_plate_system,74354053,Talk,40,20240511063848
161,National_Fitness_Council,74292862,Talk,40,20240511075928
162,October_2020_Ituri_offensive,76908036,Talk,40,20240515015505
163,Car_ownership,23111527,Talk,117,20240520143314
164,Standard_for_Exchange_of_Non-clinical_Data,46736216,Talk,1521,20240511073339
165,Manqué,13677485,Talk,1446,20240511235403
166,Bookshelf_speaker,74194682,Talk,44,20240409151155
167,Campus_DJ,74208999,Talk,40,20240511031838
168,Osnabrück_Town_Hall,74299884,Talk,40,20240511072430
169,National_College_for_DUI_Defense,74292736,Talk,40,20240513205609
170,Cambridge_Systematics,68439390,Talk,84,20240511031625
171,American_French_Tool_Co.,74183616,Talk,44,20240315130940
172,Emergency_response_system,47346519,Talk,901,20240511061311
173,Jasper_White_(chef),44824789,Talk,1210,20240515225349
174,Mokoangai,74288668,Talk,40,20240511063939
175,Pradhan_Mantri_Matsya_Sampada_Yojana,63976078,Talk,40,20240513210717
176,J_Stevens,77052097,Talk,150,20240531165015
177,Sibos_(conference),74358229,Talk,40,20240511060452
178,Texas_Football_Classic,12198986,Talk,3503,20240511235918
179,Bucket_elevator,3647558,Talk,367,20240415153327
180,Xaa-Xaa,77103451,Talk,46,20240607163901
181,Stomacher_(jewellery),62627579,Talk,122,20240511060056
182,Dilang,76905521,Talk,40,20240514175343
183,Bristlebot,42515512,Talk,59,20240417025733
184,Rohrbrunn,74350947,Talk,40,20240511062625
185,Sigma_60-600mm_f/4.5-6.3_DG_OS_HSM_lens,76905536,Talk,40,20240514175723
186,Time_slicing_(digital_broadcasting),12682860,Talk,2197,20240511222108
187,Chemistry_Quality_Eurolabels,19553336,Talk,2228,20240511060254
188,Motor_babbling,33866180,Talk,525,20240513205545
189,Mode_scrambler,11611885,Talk,40,20240511062758
190,Roky_Moon_and_Bolt,32769104,Talk,1941,20240512031701
191,Laura_Du_Ry,76178957,Talk,337,20240611232752
192,Open_access_(infrastructure),22207920,Talk,2308,20240511063316
193,Estrel_Tower,76913993,Talk,46,20240515234411
194,Battle_of_Podgora,76903014,Talk,46,20240514102616
195,Soren_Iverson,76934345,Talk,390,20240518165824
196,Gigas_(company),42184271,Talk,541,20240513210302
197,Fake_snow,44799027,Talk,744,20240328165131
198,Vikara,74424338,Talk,40,20240513204148
199,Glidden_Tour,31142961,Talk,391,20240511061024
200,Bell_housing,23736150,Talk,430,20240326154307
201,Hamelin_Laie_International_School,74257116,Talk,40,20240511223222
202,OSVehicle_Tabby,41057408,Talk,800,20240511070436
203,The_Fullarton,74413255,Talk,40,20240513204637
204,Vlaams_Wielercentrum_Eddy_Merckx,76907367,Talk,40,20240514233508
205,Thank_you,67767552,Talk,3793,20240609173953
206,Microburin,14600321,Talk,444,20240513210701
207,Visa_policy_of_the_Gambia,42643618,Talk,3151,20240511073300
208,John_S._Blenkiron,61859076,Talk,1235,20240511065109
209,OTP_Ingatlanpont,74297477,Talk,40,20240513204051
210,Libro.fm,77073671,Talk,21,20240603185800
211,InfoPrice,69938381,Talk,65,20240511064753
212,Time_unit_box_system,149581,Talk,1914,20240512044113
213,Velostat,25626666,Talk,1336,20240511075859
214,Misheck_Mugadza,76156947,Talk,97,20240526110316
215,Parr's_Priory_Rowing_Club,74302030,Talk,40,20240513212057
216,Academic_institutions_of_the_armed_forces_of_China,76908320,Talk,40,20240515031449
217,LBC_Express,42973747,Talk,423,20240511223001
218,Kaisermarsch,40689116,Talk,799,20240511070632
219,Diary_(stationery),22934313,Talk,849,20240511062406
220,Bulk_material_analyzer,61006374,Talk,153,20240416154433
221,Cohomological_dimension,9880430,Talk,2598,20240512053235
222,Ric_Heitzman,65499585,Talk,327,20240511070222
223,Early_Rust,76907978,Talk,40,20240515013830
224,Harvard_sentences,13646052,Talk,1494,20240420032059
225,Cognitively_Guided_Instruction,74217211,Talk,40,20240513204937
226,Saab_Aero-X,16968104,Talk,990,20240511065137
227,Camerata_Mediterranea,74208807,Talk,40,20240511031727
228,Jungle_Records,24145921,Talk,2716,20240511064345
229,Nayadikali,73399537,Talk,72,20240512031821
230,United_States_Olympic_trials_(wrestling),70041419,Talk,738,20240513204444
231,2024–25_Dunfermline_Athletic_F.C._season,76905639,Talk,40,20240514181346
232,Regulatory_Barriers_Clearinghouse,74348550,Talk,40,20240512000015
233,Thrill_Collins,74416469,Talk,40,20240511072548
234,Helium_dating,5563817,Talk,1236,20240511222226
235,2024–25_Saudi_First_Division_League,76908138,Talk,582,20240515082851
236,Marconi_Society,5451470,Talk,862,20240511062613
237,Stardom_Cinderella_Summer_In_Tokyo,72031208,Talk,485,20240606013040
238,SEBAL,24616338,Talk,185,20240511235343
239,Piano_Six,59855771,Talk,697,20240511072616
240,Professional_network_service,23993729,Talk,2972,20240425223011
241,The_Wildbirds,74415449,Talk,40,20240511064329
242,Mesh_(band),53590624,Talk,565,20240524173443
243,Pehli_Si_Muhabbat,68799717,Talk,40,20240511054814
244,Tinka's_Boy,76907488,Talk,40,20240514234843
245,Heidolph,30628918,Talk,127,20240412054730
246,OTV-6,72239192,Talk,892,20240513205014
247,TechOlympics,56748364,Talk,236,20240514102337
248,Hundertwasserhaus_Plochingen,65480235,Talk,93,20240513204623
249,Storer_Communications,4915453,Talk,5641,20240521042403
250,Cambiata,34549125,Talk,1079,20240511030751
251,Battle_of_Al_Khankah,76956531,Talk,40,20240519133157
252,WWE_Speed,76461600,Talk,58,20240522070326
253,Network_of_European_Regions_Using_Space_Technologies,74293974,Talk,40,20240511222051
254,Callout,28743863,Talk,229,20240511030431
255,Wingfoot_Express,5849731,Talk,2462,20240511060123
256,Independent_sources,18967250,Talk,40,20240516055536
257,MERCURE,56267126,Talk,1035,20240511072419
258,Malay_kite,16755837,Talk,299,20240511073025
259,Motorized_recliner_incident,25119546,Talk,382,20240511064513
260,Bottle_cap_collecting,73784916,Talk,363,20240404184846
261,The_Floppy_Show,14997911,Talk,1772,20240511070350
262,Cambridge_SoundWorks,41588380,Talk,296,20240511031611
263,Riviera_(Warsaw),77112756,Talk,46,20240609020136
264,Managerial_grid_model,4893509,Talk,1416,20240511065847
265,Dymaxion,100505,Talk,2279,20240512043530
266,2024_T1_League_Finals,76905570,Talk,40,20240514180157
267,Stop_action_magnet,52327733,Talk,125,20240512031601
268,Bedrock_plane,19896384,Talk,2205,20240326022138
269,Bosna_Bank_International,76907901,Talk,40,20240515011853
270,Unterleuten:_The_Torn_Village,76905549,Talk,40,20240514175904
271,Inventionland,37832206,Talk,7823,20240511235303
272,Cho_cabinet,76908930,Talk,582,20240515082614
273,Pitch_pipe,97136,Talk,1620,20240512042737
274,Ensoniq_TS-10,32295919,Talk,480,20240512000606
275,Bucket_crusher,60088281,Talk,159,20240418150933
276,Domestic_tariff_area,34949327,Talk,1645,20240511063539
277,Palalda,74301115,Talk,40,20240511235851
278,Former_Utopia,40936256,Talk,1394,20240513211924
279,Equal_Local,77099187,Talk,46,20240606233418
280,Carol's_Daughter,8470722,Talk,1332,20240511055635
281,Street_Child_(charity),74365637,Talk,40,20240511072355
282,Eurostar_Group,70685322,Talk,683,20240328103152
283,Slovene_numerals,17128710,Talk,987,20240403171758
284,Cake Browser,17128711,Talk,988,20240403171759
285,Sherine Abeyratne,17128712,Talk,989,20240403171760
286,305 Jefferson Street,17128713,Talk,990,20240403171761
